,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
381,382,"Joe Kleine, C",POR,7,4.4,-2.91,-0.54,-3.45,-0.02
382,383,"Stacey Augmon, SF",POR,59,11.7,-2.04,-1.45,-3.48,-0.47
383,384,"Donny Marshall, F",CLE,6,6.5,-3.58,0.04,-3.54,-0.03
384,385,"Brian Shaw, G",LAL,74,16.9,-1.35,-2.19,-3.54,-0.97
385,386,"Rik Smits, C",IND,79,23.4,-0.3,-3.28,-3.58,-1.48
386,387,"Gary Grant, G",POR,3,8.0,-2.86,-0.73,-3.59,-0.02
387,388,"Corey Maggette, SF",ORL,77,17.8,-0.47,-3.21,-3.67,-1.2
388,389,"Chris Dudley, C",NY,47,9.8,-4.31,0.61,-3.69,-0.37
389,390,"Thomas Hamilton, C",HOU,22,12.4,-2.63,-1.13,-3.75,-0.24
390,391,"Maurice Taylor, PF",LAC,62,35.9,-2.13,-1.65,-3.78,-2.09
391,392,"Ben Davis, F",PHX,5,4.4,-3.06,-0.72,-3.78,-0.02
392,393,"Greg Foster, C",SEA,60,12.0,-3.58,-0.23,-3.82,-0.64
393,394,"Tom Hammonds, F",MIN,56,6.6,-2.24,-1.57,-3.82,-0.34
394,395,"Luc Longley, C",PHX,72,19.7,-4.09,0.26,-3.83,-1.34
395,396,"Sam Mitchell, F",MIN,66,18.6,-1.86,-2.0,-3.85,-1.15
396,397,"Ricky Davis, SG",CHA,48,11.9,-0.34,-3.53,-3.87,-0.55
397,398,"Don Maclean, F",PHX,16,8.9,-2.99,-0.9,-3.89,-0.14
398,399,"Rick Brunson, PG",NY,37,7.8,-2.53,-1.36,-3.89,-0.27
399,400,"Laron Profit, SG",WSH,33,6.8,-3.05,-1.07,-4.11,-0.24
400,401,"Adam Keefe, F",UTAH,62,9.7,-4.44,0.29,-4.15,-0.66
401,402,"Monty Williams, SF",ORL,75,20.0,-0.25,-3.99,-4.24,-1.96
402,403,"Antoine Carr, F",VAN,21,10.5,-3.41,-0.84,-4.26,-0.26
