,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
156,Damion Lee,GSW,29,63,41,22,19.9,106.5,2.8,13.6,18.9,0.6,19.2,0.1,6.7,6.9,5.2,5.2,18.3,0.081
157,Romeo Langford,SAS,22,48,24,24,16.1,103.1,1.6,9.2,13.5,0.5,18.3,0.3,16.5,5.1,4.5,3.7,14.3,0.080
158,Abdel Nader,PHX,28,14,11,3,10.4,96.0,1.6,14.5,20.5,0.6,28.6,0.3,26.7,4.0,2.6,2.5,9.9,0.079
159,Solomon Hill,ATL,31,13,7,6,10.7,95.1,1.3,11.5,14.3,0.3,17.4,0.2,16.7,3.2,1.5,1.8,9.2,0.079
160,Josh Green,DAL,21,67,44,23,15.5,103.8,1.6,10.5,15.1,0.7,27.8,0.2,16.1,5.4,4.1,3.6,15.7,0.079
161,Montrezl Harrell,CHA,28,71,36,35,23.1,108.5,4.0,16.3,23.8,0.4,13.4,0.6,29.1,7.4,6.0,4.5,22.9,0.079
162,Cassius Stanley,DET,22,9,3,6,17.2,105.2,1.6,8.4,13.3,0.6,18.5,0.2,12.5,5.6,4.8,4.2,18.9,0.078
163,Kyle Anderson,MEM,28,69,46,23,21.5,108.3,4.3,19.6,28.3,1.1,24.9,0.7,24.9,6.9,5.8,5.8,22.6,0.078
164,Patrick Beverley,MIN,33,58,33,25,25.4,109.8,3.1,11.9,18.2,1.2,23.9,0.9,31.1,8.3,7.6,7.9,24.6,0.078
165,Austin Reaves,LAL,24,61,28,33,23.2,109.0,2.4,9.9,14.7,0.5,13.0,0.3,12.0,7.1,6.2,7.1,24.1,0.078
166,Furkan Korkmaz,PHI,24,67,44,23,21.1,108.0,2.3,10.4,15.8,0.5,14.0,0.1,5.7,6.7,6.7,6.2,20.4,0.077
167,Mason Plumlee,CHA,32,73,40,33,24.6,109.6,5.3,20.5,29.6,0.8,18.4,0.7,34.2,8.2,7.5,7.4,24.7,0.077
168,Danuel House Jr.,UTA,29,42,18,24,17.3,105.5,2.2,11.8,17.3,0.5,17.8,0.4,21.5,6.3,4.6,4.5,16.5,0.077
169,Nicolas Batum,LAC,33,59,31,28,24.8,109.8,3.8,14.6,21.7,1.0,24.6,0.7,27.6,8.4,7.6,6.4,26.1,0.077
170,Nemanja Bjelica,GSW,34,71,48,23,16.1,104.0,3.3,18.7,27.4,0.6,19.6,0.4,25.2,5.5,4.4,3.9,14.5,0.077
171,Wesley Matthews,MIL,35,49,33,16,20.5,107.7,1.3,5.6,7.9,0.5,15.5,0.2,9.6,5.9,5.6,4.4,18.4,0.077
172,Georges Niang,PHI,29,76,48,28,22.8,109.0,2.3,9.7,14.4,0.4,12.3,0.2,7.3,7.8,5.9,7.2,20.8,0.077
173,Danny Green,PHI,35,62,37,25,21.8,108.5,2.0,9.1,13.1,1.0,27.0,0.6,26.6,7.6,5.4,7.3,20.3,0.077
174,Devonte' Graham,NOP,27,76,34,42,28.4,111.1,1.8,6.4,9.2,0.9,20.3,0.2,6.5,9.1,7.3,6.8,26.2,0.077
175,Quentin Grimes,NYK,22,46,21,25,17.1,105.0,1.5,8.5,12.4,0.7,25.4,0.2,14.1,5.2,4.2,3.3,13.8,0.076
176,Talen Horton-Tucker,LAL,21,60,23,37,25.2,110.1,2.6,10.0,14.5,1.0,25.8,0.5,18.1,8.6,6.3,6.9,25.8,0.076
177,Hassani Gravett,ORL,25,8,2,6,21.4,107.6,2.5,11.4,18.3,0.6,17.2,0.1,8.3,5.9,5.8,4.1,16.8,0.076
178,Malik Beasley,MIN,25,79,46,33,25.0,110.1,2.5,10.0,14.9,0.5,12.0,0.2,5.4,8.4,7.2,7.4,23.7,0.075
179,LaMelo Ball,CHA,20,75,39,36,32.3,112.5,5.2,15.7,23.2,1.6,26.4,0.4,13.0,11.1,9.9,9.5,33.2,0.075
180,Shai Gilgeous-Alexander,OKC,23,56,16,40,34.7,113.0,4.3,11.4,16.7,1.3,21.8,0.8,25.8,11.1,9.7,7.9,34.4,0.075
